100 1634
21 1 3
10 34 5
74 22 1
81 36 4
8 47 1
29 26 8
9 26 1
74 32 10
46 10 5
28 87 3
98 51 9
33 93 5
44 8 1
34 29 7
39 86 4
57 92 6
61 74 4
32 78 8
96 57 1
45 91 8
52 11 5
32 80 9
2 14 6
76 82 1
59 62 4
10 4 8
7 20 8
17 28 5
91 10 8
44 51 2
7 6 3
46 38 7
14 27 3
54 53 9
1 57 7
30 25 7
35 37 6
33 80 6
13 42 6
57 18 2
88 88 1
8 64 3
63 78 7
83 29 3
88 81 6
2 8 3
52 3 6
31 21 5
29 71 1
94 54 3
26 34 1
62 12 5
27 85 3
78 94 9
53 83 4
12 64 6
57 46 9
32 73 3
74 50 7
98 4 3
49 61 1
87 58 9
30 31 10
86 18 9
88 6 9
34 32 6
70 4 1
93 66 2
58 5 1
93 85 2
16 76 4
12 69 6
44 86 9
58 74 9
74 7 7
36 31 6
34 28 7
86 73 3
21 11 1
64 86 1
30 41 4
95 48 9
25 43 4
5 8 6
75 0 6
45 58 2
17 95 3
94 34 10
64 17 4
97 97 6
35 15 2
52 88 3
5 71 9
25 17 10
20 57 2
58 86 1
63 74 4
0 14 7
82 31 2
4 96 3
18 54 3
22 60 6
62 11 1
85 86 8
88 63 5
63 42 7
68 85 2
68 93 7
71 31 8
4 14 10
41 0 6
8 93 10
91 61 1
47 62 4
68 26 1
86 28 8
42 84 9
27 97 6
95 86 5
49 62 8
50 87 9
97 45 7
0 47 6
49 60 9
66 35 8
80 65 7
41 86 9
12 56 9
69 99 3
96 63 10
89 42 6
23 87 7
93 75 4
7 1 2
76 78 10
38 12 8
78 69 3
32 22 3
21 56 1
1 35 5
74 48 8
14 4 4
97 70 10
34 20 7
74 23 8
51 25 2
55 24 10
47 93 6
25 58 5
64 11 2
75 18 4
87 87 8
27 81 2
60 71 5
41 46 2
67 90 2
3 46 2
46 63 5
78 77 2
48 98 1
22 46 4
23 7 2
96 92 6
34 92 9
9 65 5
49 78 2
79 98 7
88 42 5
6 79 5
3 10 4
68 16 4
66 67 5
50 43 3
47 52 1
51 27 8
53 82 5
97 74 6
60 31 4
63 21 7
61 57 6
67 26 3
8 55 8
55 28 5
28 10 10
86 47 1
74 1 4
95 62 7
29 72 2
55 2 5
71 72 1
69 34 8
1 18 2
16 60 10
51 15 10
14 29 2
71 68 4
11 87 10
51 92 8
42 74 5
62 55 10
88 53 9
39 79 4
0 13 4
50 82 8
32 57 1
63 45 1
83 70 3
49 83 2
40 41 2
83 10 6
61 63 2
48 92 5
7 62 6
37 89 1
3 13 8
57 59 4
27 40 3
37 94 4
61 93 6
64 9 1
65 34 9
58 9 10
12 46 3
64 6 6
14 64 8
18 7 8
2 0 5
95 32 9
74 58 7
91 70 4
88 76 1
81 18 7
60 53 4
14 69 9
88 37 6
27 50 3
72 28 5
2 82 8
82 65 10
67 25 1
73 5 5
90 51 2
2 19 1
86 81 4
83 68 2
94 51 3
94 83 5
48 62 6
62 0 9
24 80 3
17 27 4
29 9 6
43 87 8
0 87 1
16 27 8
99 18 2
38 97 9
94 97 9
47 68 8
42 83 2
93 0 3
89 11 2
40 87 2
14 40 4
23 77 2
76 16 4
26 59 5
87 12 7
3 30 3
66 38 8
3 38 6
46 85 7
70 85 8
37 61 2
35 73 1
65 3 5
62 8 9
12 26 2
93 62 9
23 47 8
32 90 10
73 93 3
92 19 5
96 75 7
24 65 1
1 60 9
26 51 2
84 36 1
48 71 5
6 64 4
21 49 2
60 59 4
21 75 8
72 89 9
70 61 9
67 69 3
52 61 8
3 95 10
67 4 3
18 65 4
89 70 10
85 81 3
98 46 8
52 47 3
40 0 9
10 68 6
22 54 5
7 22 8
31 71 3
44 0 1
62 22 1
4 95 4
73 69 6
98 6 5
47 14 7
2 2 10
57 4 4
61 19 5
19 52 7
51 79 5
20 20 5
79 47 10
44 34 3
57 38 5
23 71 3
27 78 5
34 4 7
81 81 8
69 9 7
3 47 2
37 16 10
36 50 4
73 4 6
68 79 9
36 56 4
38 10 9
55 74 5
47 7 3
10 81 4
1 67 6
36 3 2
90 12 2
60 32 3
43 77 2
46 3 9
78 57 4
17 70 6
15 40 10
58 98 8
26 78 8
27 17 10
92 76 3
37 33 4
80 26 2
40 23 5
95 13 1
31 75 5
2 92 3
45 16 5
1 69 8
82 73 1
21 69 10
25 38 1
63 28 3
13 6 4
91 93 4
39 2 1
3 64 4
50 90 10
98 72 3
11 50 4
33 53 3
17 8 2
53 9 9
19 6 9
24 69 8
28 8 7
46 93 6
46 29 3
60 98 10
44 3 1
55 49 8
75 37 5
90 3 6
94 35 8
7 89 3
97 20 4
68 30 4
75 79 6
78 34 8
37 29 6
4 98 1
73 96 4
85 27 10
6 73 4
93 99 4
17 44 4
82 93 6
82 2 1
24 29 5
86 35 6
29 62 3
66 77 8
47 70 6
99 79 3
23 76 5
94 96 9
84 79 9
4 69 6
53 81 2
77 52 5
78 45 3
90 46 3
72 85 7
56 91 9
69 36 7
8 89 5
71 55 1
13 47 3
72 97 2
83 67 10
40 31 7
50 27 8
73 81 9
95 65 7
7 82 3
58 87 2
63 5 4
72 69 3
9 47 7
87 89 10
28 71 3
15 89 6
10 3 3
61 98 2
12 19 7
99 6 8
51 24 1
58 63 4
65 20 7
0 30 4
51 57 6
38 1 2
24 86 1
32 26 2
93 30 3
35 66 9
35 33 3
80 62 5
67 14 6
68 99 8
81 90 7
31 92 7
98 58 2
56 0 4
78 16 6
72 40 6
43 52 6
59 80 8
2 29 4
4 27 8
1 78 6
12 75 6
90 34 9
42 41 3
69 45 3
69 32 4
73 49 1
82 50 2
35 50 6
53 43 10
32 74 9
68 20 2
33 58 1
21 59 7
22 77 2
94 79 9
22 44 4
1 73 2
59 95 1
24 26 10
68 91 2
22 70 2
10 0 1
23 43 6
50 34 8
59 85 2
6 87 10
72 37 3
44 84 1
97 41 10
39 14 2
51 97 3
48 40 10
23 46 9
48 88 7
48 11 4
46 82 10
19 65 7
4 18 3
39 57 3
37 59 6
48 1 8
40 50 5
34 31 4
40 18 6
79 20 4
18 85 4
83 45 7
95 17 3
49 24 7
5 4 10
32 56 10
96 17 10
80 56 3
46 99 7
20 23 9
97 62 9
1 8 6
38 54 5
18 41 1
64 32 8
22 36 7
47 82 8
2 18 10
39 18 4
85 70 2
46 56 1
19 8 8
55 19 9
18 60 5
69 82 5
23 42 7
32 6 8
2 73 5
40 94 10
17 42 8
3 55 7
84 23 1
29 30 8
78 91 6
94 41 4
55 87 1
66 84 4
68 94 6
97 53 3
90 57 3
81 42 9
55 1 8
39 23 8
84 1 1
80 35 8
96 51 10
70 12 6
51 63 6
39 67 3
8 87 4
72 9 5
48 18 10
0 63 3
76 51 8
83 9 6
48 52 5
59 44 9
60 77 4
32 17 4
82 91 10
23 16 6
48 43 10
69 46 4
44 61 6
51 29 5
52 55 10
23 12 10
73 98 3
85 92 8
4 37 5
42 51 1
56 62 9
63 72 9
66 49 4
26 19 7
50 70 5
8 45 5
27 56 5
42 81 3
72 26 8
81 41 2
34 85 4
40 84 7
98 1 8
40 5 7
94 94 2
58 41 8
32 2 2
19 42 4
55 0 7
86 25 4
88 39 2
9 54 1
22 90 2
50 25 2
80 84 7
35 77 10
36 98 6
56 43 7
8 13 6
79 45 1
54 92 8
14 87 9
10 16 7
26 85 1
70 63 5
61 17 3
39 41 3
70 59 7
25 74 2
36 99 10
41 64 6
55 5 5
34 87 5
73 74 3
51 45 9
57 3 4
80 86 2
67 33 6
3 94 6
35 46 10
18 19 2
8 62 5
84 66 1
41 27 1
67 85 8
85 82 3
55 51 2
9 97 4
58 56 7
78 44 10
28 34 2
83 85 1
8 61 2
62 42 3
44 68 9
6 3 3
66 25 1
72 83 3
94 48 10
13 84 6
71 36 9
52 50 10
98 59 9
75 7 10
17 7 3
63 58 7
67 49 1
93 76 8
11 72 6
0 34 4
37 80 10
25 85 1
20 3 3
95 95 10
91 95 5
37 75 4
91 94 4
29 87 8
82 25 2
69 27 9
40 25 4
43 45 3
57 88 7
95 0 7
11 39 4
70 9 3
45 86 1
93 95 5
72 11 8
8 10 4
5 42 5
0 0 3
47 10 3
68 37 1
81 73 8
87 56 6
7 98 6
82 0 6
29 94 9
24 56 3
64 27 2
12 5 9
15 36 6
2 88 2
68 88 7
86 75 4
18 4 6
76 21 8
81 66 2
47 85 7
55 32 4
63 18 4
65 43 4
16 64 10
79 18 9
36 48 9
8 3 9
19 27 6
92 97 6
45 75 3
14 5 9
97 14 2
85 61 2
80 27 5
94 81 1
2 24 4
36 66 3
63 20 5
90 82 3
97 77 6
29 11 10
83 53 1
48 26 10
17 91 4
71 89 10
23 34 7
30 9 8
17 80 7
68 75 7
11 64 5
49 67 9
87 53 10
92 77 6
41 17 5
44 95 3
46 81 8
45 49 3
21 89 3
46 2 6
28 78 2
27 21 7
31 97 1
28 28 10
69 11 1
32 29 2
60 39 9
37 37 2
52 32 8
40 20 10
62 48 5
17 20 4
57 25 6
99 52 7
45 24 3
97 2 4
67 61 5
60 80 4
95 85 8
34 84 2
94 87 6
49 13 6
66 19 10
91 83 1
87 84 6
26 56 2
98 97 9
34 96 7
96 16 7
82 1 8
81 10 10
33 75 8
84 56 3
48 95 9
5 27 8
17 22 10
9 46 2
57 36 4
99 45 6
16 39 6
25 46 3
72 70 7
70 97 5
81 33 10
42 94 9
55 95 10
63 52 6
23 40 6
94 78 5
50 28 3
97 39 7
1 24 9
51 75 5
27 28 4
38 85 8
16 31 7
15 67 5
4 82 1
20 49 8
24 90 1
80 60 6
88 99 5
45 27 1
54 76 8
86 97 4
51 87 7
71 83 4
26 82 3
95 72 1
45 6 4
12 66 3
41 58 9
17 69 7
92 86 10
84 35 3
7 15 6
69 89 5
96 1 6
61 24 1
21 39 6
25 92 3
68 69 10
60 62 8
39 58 3
38 37 6
86 44 5
60 19 1
77 84 9
14 45 4
85 3 4
56 95 1
3 39 4
69 54 10
64 53 1
61 83 6
16 6 2
48 69 3
39 90 8
58 46 4
16 55 4
25 96 1
30 65 9
51 76 3
58 67 4
67 21 4
52 48 4
3 75 6
64 92 2
59 69 8
61 36 8
64 43 8
50 41 5
99 64 9
76 7 2
96 8 9
5 31 2
2 54 3
96 44 2
52 92 10
94 37 3
81 2 8
75 81 4
68 17 2
13 4 10
44 11 3
67 83 9
0 26 5
33 83 3
69 57 9
4 6 9
4 23 8
47 49 6
20 38 1
59 98 7
11 90 5
1 54 9
57 72 7
73 27 6
95 25 5
23 36 1
54 72 8
35 89 9
38 50 9
24 10 2
33 65 7
74 10 8
11 29 4
85 64 8
9 87 8
44 14 4
93 34 4
51 94 6
47 90 5
94 59 4
27 60 1
37 55 6
43 80 2
28 92 10
56 28 2
29 98 5
66 2 8
59 31 4
29 89 3
90 77 3
38 77 8
82 42 4
74 78 6
61 99 8
38 8 3
48 30 5
67 31 8
26 6 5
70 1 8
76 97 8
76 33 3
23 0 6
0 72 4
48 32 7
2 46 9
86 50 7
65 90 10
15 3 3
20 90 10
64 79 8
27 93 1
96 68 7
72 64 2
51 73 6
44 66 5
60 58 7
4 3 6
15 41 9
93 12 1
33 4 6
94 6 5
72 73 3
87 86 3
33 64 4
14 94 4
70 88 9
28 35 9
99 17 10
79 9 7
25 59 1
54 80 1
57 39 2
15 30 9
0 57 7
96 50 1
7 81 8
58 15 7
40 36 3
0 37 9
64 12 1
64 99 5
54 25 1
50 14 9
19 51 3
28 9 2
95 6 1
98 40 5
47 21 2
87 91 4
9 32 2
42 47 9
77 61 9
40 19 7
19 40 3
7 5 9
32 62 3
16 7 9
53 49 2
53 4 3
21 74 5
92 93 9
29 42 5
49 34 1
72 66 8
98 42 1
74 56 3
35 10 6
43 18 5
20 17 4
48 34 9
21 71 1
94 70 9
4 20 5
4 2 8
35 41 6
12 63 1
84 33 4
64 18 3
0 92 4
73 90 10
22 95 7
29 82 8
21 19 10
15 59 1
20 78 5
26 9 10
92 50 2
90 45 8
18 17 3
27 11 7
3 63 3
77 64 4
73 58 9
67 39 3
45 50 9
15 66 6
83 37 7
9 34 2
37 12 10
42 89 2
50 26 1
44 32 5
72 71 1
94 39 5
88 44 7
49 85 2
95 19 8
67 34 5
46 83 6
15 57 5
12 93 3
55 66 10
75 15 2
34 46 8
58 52 4
60 9 5
41 66 7
69 73 10
83 38 9
50 81 7
26 20 6
93 51 8
49 88 5
85 66 2
98 86 3
8 18 6
1 19 4
34 67 1
97 99 4
17 29 8
50 53 9
45 69 6
52 39 10
86 23 8
66 33 3
37 83 2
39 20 2
56 1 10
67 84 9
39 1 9
57 13 8
7 28 3
69 44 2
44 93 7
39 80 1
27 88 6
