2000 13973
793 1151 5
1297 968 3
1492 655 6
1737 1900 3
274 202 7
1048 484 4
84 1947 5
863 29 9
1448 1120 7
192 310 6
1491 472 3
783 1735 1
245 952 8
1758 1031 3
1006 1395 6
1070 1910 2
139 1324 8
240 1974 2
1283 1880 3
374 286 5
1983 1204 7
520 617 3
612 1615 5
1283 1331 6
35 1655 3
277 1445 8
1019 1179 9
1869 1948 1
1667 799 1
1092 1084 9
445 85 2
725 643 6
1523 219 6
1543 1239 8
466 38 9
1155 144 10
1607 410 3
772 708 9
1044 323 2
526 823 1
1171 966 3
1184 1522 9
854 1949 7
1837 1664 7
325 1263 5
141 811 6
1288 201 1
1533 310 3
1088 569 10
705 65 2
1896 1484 5
1202 1682 10
122 1944 4
1288 909 7
11 426 6
291 1928 8
1000 554 2
731 452 3
444 1249 8
64 1827 1
584 772 2
50 1195 7
628 913 4
119 77 9
880 833 10
1048 221 7
1243 558 2
1991 1554 7
646 1879 6
1982 1738 4
1551 1448 1
1284 149 5
287 1868 7
1554 1107 10
1315 1513 6
1963 547 4
445 1465 8
623 691 2
234 1632 2
1031 1911 3
435 1021 3
632 768 10
596 638 8
101 1838 8
1114 1300 8
1809 1987 5
248 830 9
884 1581 7
937 1208 1
622 756 6
515 1753 1
352 1776 6
369 713 10
1840 1130 9
753 603 8
864 1860 4
535 216 1
684 738 10
361 1663 8
270 1335 5
182 1513 6
429 158 6
61 1153 10
822 511 6
1892 938 7
1996 512 7
515 1221 7
658 1976 9
1796 174 5
302 855 4
1310 114 10
245 579 3
1420 558 4
510 1034 1
241 1349 1
613 1611 8
360 1409 10
956 371 7
373 1491 5
1310 90 5
1199 1307 6
1110 622 6
1113 157 4
1828 956 9
437 84 4
597 1394 5
26 1867 9
120 769 2
225 1369 2
554 1102 8
531 1618 8
1519 761 6
224 680 5
714 728 8
519 1703 8
718 1932 4
1754 903 5
1831 1747 3
1804 1015 5
1689 1145 9
19 469 1
1280 1360 7
1771 1111 3
510 624 7
1813 837 6
987 71 6
1094 1209 6
1020 1921 3
476 871 6
753 757 4
761 1343 9
937 1398 7
1666 313 1
1978 1032 9
1988 1813 6
629 1358 4
652 510 2
698 1129 8
1448 617 7
1864 1724 7
518 140 9
156 1418 8
800 1341 9
2 1632 4
1227 139 1
445 80 10
1427 864 5
131 885 7
935 1500 7
75 307 5
104 889 9
1257 75 4
1505 1288 6
974 436 3
360 53 2
746 1110 9
979 362 9
1175 879 9
826 930 6
1570 1287 10
61 1374 2
1464 17 7
1276 524 4
1022 1737 7
585 235 2
708 1995 7
302 423 5
89 1039 1
1167 78 2
1831 1352 6
579 574 3
1959 860 3
349 1385 7
680 1580 5
1162 875 6
1487 1188 4
1168 1115 2
78 1023 3
1242 1446 4
1646 753 1
1334 1777 7
1440 248 7
813 259 6
1369 1160 8
1095 333 2
112 1421 1
383 342 3
993 1550 3
1889 645 4
346 714 2
215 1113 5
781 1061 5
627 142 4
665 1360 4
37 1906 3
404 1484 5
269 1929 10
1706 848 6
621 349 10
1818 423 8
1510 1038 5
532 24 1
1699 353 2
621 298 5
1950 1576 10
711 206 5
1480 609 4
1711 1659 8
166 993 2
1076 235 7
52 1921 5
1125 441 9
1213 94 5
797 1882 7
901 891 1
465 1320 1
1308 1933 8
734 593 2
167 417 1
412 1136 5
1573 1277 7
1931 1856 10
212 1942 8
1911 1429 2
439 254 6
11 1704 1
494 1399 1
1812 1767 4
1397 27 7
1845 877 2
155 1535 1
1391 1229 8
1961 564 2
345 976 2
1649 1914 4
722 1373 9
1922 1424 1
65 1238 4
562 1289 8
1449 416 10
1094 82 3
985 1805 9
362 1799 8
1394 1301 3
132 1355 8
1180 1777 10
1815 443 10
25 1843 9
649 576 10
1424 106 4
296 1919 10
1282 1811 5
1431 1164 6
596 377 4
1945 1487 5
1416 172 4
209 1256 1
936 306 8
814 1349 2
324 1393 6
714 936 6
1853 1468 7
1983 1043 6
657 1545 1
1246 762 3
126 679 9
755 882 7
719 1870 5
465 1258 1
718 878 2
1552 314 5
1142 1657 1
503 393 8
659 1998 2
770 98 5
1325 1132 3
21 543 10
1619 1061 5
570 1386 2
1498 848 7
1606 749 9
77 1519 2
1610 759 9
1772 1967 5
928 984 7
1627 1373 3
878 1710 5
790 1141 7
632 82 1
950 135 5
957 1907 3
910 1155 8
1027 682 4
1225 1956 3
896 1059 7
1431 1524 1
80 662 1
42 1015 5
1443 1920 8
1419 1253 2
1538 878 2
805 348 9
1770 669 10
1804 1647 4
930 93 9
1499 1412 6
134 1034 4
444 950 4
869 1651 2
235 350 5
1896 849 9
1835 1287 1
1578 1566 10
1135 1031 3
277 817 9
865 446 9
360 266 8
1545 660 8
187 154 5
267 550 3
549 1669 6
1342 29 8
1907 890 3
1658 293 7
281 295 1
546 1772 2
1256 1654 7
1033 918 1
85 1760 10
342 1271 9
551 892 3
287 505 6
1774 1236 5
928 1130 7
712 1225 5
1653 1017 10
1359 1045 3
217 361 8
796 1093 8
633 221 4
270 1519 7
1147 53 8
1624 1079 1
1956 1713 7
718 601 7
348 252 1
1185 1477 1
201 1301 1
1622 1545 4
725 150 7
152 1483 2
814 1911 3
1088 40 9
1480 1934 7
440 688 3
1470 29 6
484 120 5
1169 1534 10
1902 1717 4
1520 1079 6
1173 946 2
282 1375 3
1785 703 7
1905 1522 2
1101 1524 6
1845 1727 3
979 1206 7
873 1695 9
757 42 1
1301 259 5
430 1501 4
1660 1622 4
648 1531 7
637 368 2
530 676 3
1054 1510 5
1625 55 9
780 1429 5
1782 396 6
1308 575 5
674 1439 3
313 1244 8
462 250 7
136 337 1
1055 1989 10
1275 272 6
820 1359 4
1444 38 7
1707 1349 4
300 721 4
10 1559 2
450 1421 6
1401 35 1
1966 1894 10
336 224 9
1675 954 4
278 1014 7
477 1203 4
1345 1724 1
686 1979 9
1773 36 3
86 1468 7
195 218 8
875 588 4
491 1615 4
1143 984 9
1726 1360 8
288 125 2
1348 128 7
1273 218 9
1772 893 8
1763 1986 9
614 643 4
75 364 6
211 1358 10
1440 1308 9
1709 930 7
1952 573 9
1872 1535 9
1492 902 10
1623 1413 6
1147 301 9
1700 1844 3
586 1427 7
41 538 3
505 1574 1
419 1063 10
421 1126 10
897 753 3
207 878 7
1227 1476 6
1054 995 2
1038 1675 1
1685 683 1
1042 1938 3
752 1460 4
1422 1779 9
1571 614 2
804 1204 6
322 607 4
919 412 6
1514 147 4
1116 1633 6
565 470 7
295 1324 6
1476 959 10
1904 832 10
1902 1599 4
1520 1976 4
512 236 7
1906 743 5
1412 262 1
271 1826 3
776 730 10
196 52 2
493 1711 4
1884 1664 4
1093 263 9
1276 1565 1
549 1585 9
1687 638 2
1349 1560 4
681 1045 5
1905 703 10
1633 1302 6
1290 312 6
1413 399 5
419 1801 9
361 1038 9
215 528 1
924 935 9
93 1603 7
1049 194 1
966 456 5
332 174 4
298 948 2
480 1571 9
140 1502 8
1918 1046 1
202 1586 3
945 1167 2
801 1605 7
1795 1087 7
1358 1901 7
988 946 1
713 1792 3
899 624 3
1941 953 5
1099 1245 8
1000 1983 6
1170 345 5
1589 1088 7
1136 341 8
373 1385 9
1172 903 9
1901 1128 6
1086 654 5
1101 1866 2
1818 385 3
1061 1257 8
1067 720 4
958 866 4
968 1826 8
434 155 4
1638 1953 10
197 1886 3
971 20 1
1223 1408 7
923 255 5
803 1034 3
61 479 10
119 1471 5
1211 432 10
1900 1103 4
601 820 9
709 606 3
952 759 6
615 1279 10
201 667 4
1373 1113 5
1275 935 6
621 1987 7
189 1614 6
1635 846 5
681 1977 5
338 339 9
748 1429 10
1676 1932 6
166 267 6
516 950 9
319 740 9
1642 76 9
1817 1276 3
883 1196 9
587 1587 6
987 1440 6
1618 1158 8
512 1337 5
1871 269 5
180 10 2
537 204 2
217 1412 7
94 1083 7
1163 1552 7
1144 805 4
371 368 6
1070 1234 8
435 254 3
107 1463 2
1257 394 7
513 1194 5
843 955 4
742 1655 10
1477 579 4
115 1585 9
873 448 7
1367 1984 9
157 64 2
581 1296 4
1363 1494 6
845 610 10
1552 656 1
1337 539 5
287 1983 6
312 238 3
81 477 7
95 31 5
1068 886 1
306 1696 9
99 133 7
478 1496 6
608 795 10
157 428 1
758 1914 6
1493 273 4
644 1465 5
1615 524 2
386 425 2
1972 112 4
301 1882 9
491 456 4
449 231 7
1158 1713 1
93 460 7
609 1623 7
306 946 4
1369 1221 9
1223 614 2
1548 1606 4
577 782 8
556 1396 1
1737 1095 5
719 798 8
481 1438 1
781 1705 5
1327 205 10
113 381 1
602 1134 3
252 1960 5
877 597 10
808 1084 8
1857 412 10
1059 25 4
192 727 5
436 166 3
1419 519 9
1579 499 9
1415 493 8
143 1554 7
243 565 2
972 25 5
879 851 3
152 1872 2
1615 1765 1
1690 709 4
1555 960 4
1468 1415 6
159 1175 3
1244 83 9
1667 1796 2
1302 1150 4
1879 777 1
1183 1088 7
1827 867 6
345 24 5
1406 1844 8
203 1588 10
103 801 6
1644 1701 10
1495 1703 1
564 125 5
1821 1838 8
1510 502 2
190 18 6
1220 973 10
138 1460 4
1594 1375 7
999 1125 5
503 566 3
1417 1792 10
868 308 4
1332 1226 8
248 532 1
673 782 3
1268 1821 9
1636 961 3
650 1708 5
1109 1656 1
347 283 9
1875 187 5
986 963 10
577 16 3
1157 1231 10
1135 1769 2
547 1248 6
1107 172 1
1318 1255 6
1192 310 4
1538 982 1
504 673 9
280 1580 9
123 914 9
12 700 10
936 1732 8
1332 1433 4
784 1457 4
76 527 4
723 477 3
1519 638 6
1633 996 7
97 810 7
733 141 4
40 1670 2
1645 1639 2
1992 1795 3
1735 1410 6
1343 1396 10
942 971 9
1671 1161 4
111 1416 10
584 1348 10
423 500 4
842 1405 10
299 19 3
1952 737 4
961 310 1
1009 1950 2
881 1435 5
1247 1378 9
1735 907 7
1529 1320 4
857 1191 4
735 586 9
576 473 7
283 1470 3
1335 765 6
1196 431 2
60 1858 10
978 583 9
1603 1417 5
909 938 8
690 1100 9
257 1767 9
90 1900 5
930 432 5
1640 1331 3
901 1518 1
858 1384 6
1792 575 6
756 603 9
1734 1702 7
1945 1513 9
377 1916 8
1170 1083 9
1732 424 10
1799 342 2
1935 1212 9
1014 550 6
1536 192 7
532 488 2
1530 18 9
356 620 6
825 1346 7
420 1354 8
664 568 9
1213 1985 2
585 683 7
674 835 2
1813 319 7
796 333 7
575 348 1
1361 176 4
331 843 6
1809 4 3
398 1668 4
1530 838 7
1836 586 2
1661 1815 3
502 1949 1
1762 678 5
1438 918 4
1038 1194 4
1202 1353 2
1003 162 6
1415 27 2
301 119 4
338 1422 8
974 543 2
762 1017 10
149 708 5
153 207 5
1686 1036 3
1360 1069 1
1190 1953 9
1370 347 7
1375 1810 6
1594 796 3
1130 1589 2
1503 1211 10
1152 476 7
1383 818 3
1655 1673 1
1883 1112 2
743 1978 3
993 42 10
1830 1109 2
81 1674 3
1331 129 10
1309 1165 7
1171 1514 2
1156 184 10
1095 1990 9
1283 639 5
1253 1216 2
1952 1372 2
828 986 5
1947 1688 9
1422 545 9
473 805 8
951 904 7
729 1167 1
1959 598 6
1028 82 1
349 189 1
186 397 10
1029 785 8
707 1389 8
67 840 2
1695 1665 2
624 1787 3
1141 1622 10
1051 98 2
1898 1759 9
1654 1887 9
1981 1169 10
187 1999 7
279 1341 5
634 1878 6
1617 1105 10
158 823 9
1693 1632 7
1522 837 8
358 326 2
1664 1343 4
198 772 10
1600 1972 5
1547 1173 3
1670 251 5
939 1947 6
496 977 3
20 1062 10
252 1800 5
772 1031 3
1074 1637 4
1080 371 9
1538 469 6
1710 602 5
250 52 6
445 382 7
72 1442 8
1310 1916 2
1030 1147 6
818 947 4
425 1052 10
374 638 2
927 198 9
1085 896 10
1062 1976 8
981 207 8
68 912 1
1767 1745 6
147 1374 5
356 956 2
1650 175 8
133 1024 1
1511 1480 8
1231 1004 4
247 1295 6
1529 1100 7
159 1324 9
1921 1052 7
600 478 2
457 1689 7
323 1862 2
771 1864 8
1328 1304 2
1677 88 4
813 266 1
198 554 8
348 836 5
559 1783 5
822 873 9
1887 647 3
1653 606 5
767 843 6
1411 562 7
83 455 7
1500 1815 7
1172 1517 10
1663 667 4
995 1381 6
716 107 4
1738 306 1
1818 416 10
922 1912 3
380 1601 3
105 542 1
530 475 3
1766 912 10
1170 920 8
1122 1659 9
1936 1285 6
211 755 1
1168 1328 1
1328 566 1
309 444 8
174 506 6
57 679 4
637 874 7
1350 150 1
937 1095 5
243 966 8
1858 592 6
1749 1717 2
586 1609 2
67 396 6
1971 1430 2
689 1260 10
1321 1715 3
981 857 8
1354 1727 6
1216 1857 1
394 1337 6
1898 190 5
723 892 7
1931 451 7
808 172 7
1655 403 9
729 152 4
1850 351 10
1667 1351 10
10 648 3
304 585 9
1953 318 10
619 313 2
1983 560 4
546 1812 9
282 993 5
1677 1685 2
1331 1676 8
221 65 2
564 95 6
1934 1800 3
1368 1189 7
1213 1121 4
908 1279 5
903 1371 8
1050 1116 4
631 1756 6
250 1650 10
1712 425 10
865 197 2
1574 1840 1
639 355 9
656 1058 2
1975 257 7
362 1302 8
93 625 3
1684 1216 5
235 1084 2
830 1670 10
1527 1228 8
1134 905 5
1446 343 5
1960 237 1
473 783 2
976 1718 6
253 886 9
1319 860 2
474 1677 7
777 482 2
1496 1037 1
984 693 7
1952 1183 3
527 1286 4
882 999 10
329 225 6
1588 1421 7
1278 1156 3
1650 199 6
626 1029 8
632 1180 7
65 562 5
1768 387 8
1841 1942 9
1013 455 1
1134 1720 3
970 237 8
1510 1801 6
457 1489 4
247 1261 6
1840 1364 2
1295 1759 1
544 714 8
543 1438 2
127 1468 6
1732 672 1
1074 448 4
1674 1696 8
3 697 5
1222 1223 10
1580 1224 1
680 1864 2
96 1106 9
84 1949 3
323 1437 3
307 600 5
1993 340 2
46 74 3
1701 265 5
23 1308 9
881 1140 2
1053 1689 4
913 1170 3
1282 372 4
1890 1962 2
531 1434 4
346 551 6
589 84 4
1484 1354 4
1472 1277 5
1719 1771 10
1753 1722 10
1471 1412 2
1077 860 4
1279 1441 2
1678 239 6
972 1855 9
940 410 8
642 1417 10
1824 1713 7
1912 1906 8
663 955 7
922 1850 4
467 1151 8
945 1524 2
201 1491 5
258 1985 2
1890 294 1
1798 373 9
963 146 5
1623 953 1
1626 1755 5
801 1804 2
992 31 4
254 1580 5
524 537 10
856 674 2
83 1028 4
342 217 5
1187 29 8
547 1199 8
1535 1850 1
1119 534 4
947 1055 2
1552 1380 5
263 725 1
570 1065 10
1427 1411 6
869 633 5
1656 595 4
306 274 4
1100 1504 3
1476 1337 2
116 656 7
586 331 6
627 1552 9
597 1834 5
0 829 7
1960 1667 2
916 729 3
512 705 8
352 1234 9
658 423 2
1680 1082 3
1129 1350 6
1970 816 7
1127 546 4
440 1545 9
1105 724 5
1001 747 3
865 1127 3
506 555 5
1465 197 4
668 1031 1
745 1324 1
827 1685 4
1321 1100 3
1470 1650 7
954 266 3
390 483 1
210 1762 7
1630 834 3
346 1939 7
197 774 9
848 1333 6
418 240 4
981 1699 8
1823 1858 3
1571 1342 1
1521 1012 2
1100 891 10
1281 391 2
703 930 7
1246 1906 1
1037 1097 7
1951 1456 2
162 75 3
1964 1268 1
1012 1308 3
236 1850 6
1733 760 7
1694 1625 1
242 1207 8
1992 551 1
1510 371 2
590 30 7
460 1252 4
955 771 5
212 386 6
1681 11 10
1591 1516 8
1504 1029 2
1356 1569 4
1065 432 2
1281 276 3
67 1962 5
1299 1614 3
476 929 3
1283 10 7
1054 749 5
1428 485 10
1859 176 8
965 1777 9
1441 1883 10
827 1085 4
1045 41 1
1153 1961 4
1616 933 10
627 803 3
933 1235 8
237 50 4
146 1878 2
652 1413 4
330 308 4
1426 1875 6
503 1720 6
225 1810 7
702 981 1
673 1143 10
1913 1745 3
936 1505 4
249 1959 5
1640 1543 2
647 819 2
938 447 10
143 86 5
945 254 6
687 1012 6
1685 189 6
1256 1260 9
827 345 5
1498 26 5
927 537 5
254 920 7
620 317 6
1340 698 6
925 1660 2
749 1601 1
1863 254 8
492 1922 3
292 1493 4
518 260 2
1673 1597 7
1424 1861 7
1199 996 1
212 1221 1
601 1874 7
1534 422 10
1122 1434 7
1619 949 7
1872 923 3
543 776 6
398 703 10
286 1728 6
887 1332 9
341 1205 6
324 1620 7
265 1418 8
480 1015 3
1823 604 10
287 746 4
1630 1545 10
343 38 9
1274 1840 10
332 1602 9
700 774 7
1209 1911 6
1946 1374 2
460 1127 9
188 320 5
180 1472 4
265 718 7
1357 1402 5
1878 1585 1
737 643 2
48 925 2
1526 1341 4
1477 564 2
111 668 4
756 138 10
1217 1762 4
1174 694 5
321 697 9
708 463 4
316 1140 8
807 1324 8
42 425 3
976 1889 10
851 678 5
46 516 3
343 1113 5
268 1691 2
1431 1420 6
231 1408 1
1021 987 3
69 1463 5
1411 1080 9
866 960 8
420 1831 5
1555 1182 1
481 1638 1
1725 1247 7
51 1671 8
1569 1969 2
1063 921 9
318 1376 7
1389 62 3
857 1544 9
1975 1191 1
1556 153 7
1228 281 2
1715 699 7
262 146 9
1647 1599 7
364 441 5
1296 750 2
301 1498 4
125 836 3
1818 624 10
1890 1697 7
894 1744 4
1014 1630 4
302 202 10
302 424 3
872 332 7
982 574 8
1285 56 5
669 273 3
1643 863 2
949 294 9
416 130 3
1619 95 1
390 742 1
347 1931 6
906 1444 9
617 1739 8
1126 730 10
1205 596 8
643 1853 7
1404 1738 5
250 1579 4
151 1761 4
1362 1057 1
1514 772 2
1301 1050 9
889 307 8
987 478 4
1846 1366 1
151 1663 2
15 1983 6
754 1340 4
29 840 7
219 1934 2
669 1652 1
766 1227 4
1175 817 8
785 1691 5
506 745 3
193 361 5
1345 1016 8
1901 795 3
1875 1386 7
1335 1731 3
1162 317 1
511 476 6
867 52 3
190 1262 7
1500 375 8
1573 135 8
1233 1935 3
1990 1029 10
1628 1695 2
958 212 1
10 1644 2
57 1284 3
965 1421 6
849 1821 4
95 1856 2
1948 293 2
497 1091 8
1630 983 9
1665 1120 3
183 651 4
569 1287 9
387 302 6
763 1933 3
1522 1725 6
1102 1892 2
1234 1152 4
337 162 2
705 549 2
1416 275 6
960 763 9
1287 1836 2
1378 1464 2
286 1638 9
1250 667 4
1108 394 8
1972 199 6
1158 950 3
611 1310 10
136 102 10
506 215 5
48 686 5
1145 266 4
1627 1026 2
32 573 7
573 712 1
218 385 4
727 982 8
909 814 7
757 694 5
905 514 3
1959 905 1
203 1045 4
632 1236 1
694 996 8
1058 927 4
1924 1349 3
1924 1789 1
1205 1038 1
1842 1587 4
1677 65 1
360 315 7
589 169 1
585 549 2
167 1081 1
984 1075 2
596 1305 4
1494 1877 6
676 616 5
545 1183 5
1178 137 10
355 832 7
359 1291 3
1646 782 2
1107 1734 9
1986 27 9
1695 467 3
1340 1323 5
1785 606 6
841 63 9
853 1390 7
1178 1418 6
385 1594 10
555 468 6
1941 1826 4
1237 440 5
1837 1512 5
1496 1153 1
1114 1963 10
641 1491 7
1795 1230 8
391 1731 4
1533 551 4
1931 999 2
1772 411 5
1713 1531 6
816 1071 5
1903 1323 8
1375 1999 5
609 1373 5
1206 1992 6
1813 1628 6
1887 1422 3
874 199 9
437 1641 5
832 344 7
1971 688 10
1769 256 6
95 1167 5
1465 302 1
1141 348 10
1805 1809 7
1789 879 1
201 485 9
78 1797 2
499 728 2
1469 187 3
1205 250 3
656 740 5
870 539 6
30 1704 6
1534 894 6
931 1687 4
1974 633 2
1178 1998 6
1545 1023 5
244 746 1
695 1736 3
1459 1121 4
1275 598 8
1547 1365 3
732 315 3
1266 1695 3
1689 130 6
877 902 10
1525 1986 7
1420 922 4
1598 1108 5
1234 975 4
1815 1879 10
150 919 2
1421 1994 3
1863 1330 7
762 1110 5
1979 872 2
1385 799 10
1591 1547 3
536 1629 6
731 135 3
866 1315 2
1974 495 4
1747 421 10
630 211 6
306 1879 1
1374 451 7
1048 1823 2
618 1982 6
424 685 2
1118 1662 3
98 755 7
26 727 9
1989 30 2
1600 99 8
1073 1157 8
272 677 1
1797 1675 8
1658 1241 7
1916 1081 4
1780 1221 4
1055 328 6
455 525 7
659 553 7
493 166 4
1647 1879 10
439 1738 1
938 1493 8
1016 1697 4
1410 481 1
1061 1046 1
1570 907 1
311 1102 7
979 1882 5
1831 1056 10
777 775 8
1596 324 5
246 1542 4
252 568 2
1460 1852 9
1270 1968 3
530 343 2
561 271 9
1804 1283 1
1468 1354 5
516 729 8
1621 672 5
1766 1381 5
280 547 7
337 543 9
30 799 2
198 1780 8
1477 899 10
203 175 10
1259 1040 6
534 1263 9
1324 161 6
87 732 4
108 1450 6
99 1894 6
1212 1187 9
77 403 10
1295 1804 3
968 1018 6
201 104 1
1345 1336 5
253 96 5
1150 217 10
935 1156 10
1760 1426 9
1988 1935 8
292 1832 2
1191 1307 6
1023 725 1
886 453 3
699 1730 10
225 1665 9
1984 1791 5
66 1638 5
1876 1489 8
1986 1264 7
709 149 8
706 1327 6
1837 1019 5
1032 586 10
858 1567 4
405 1073 2
296 1711 6
1324 50 8
189 929 7
1326 1739 1
94 1888 8
1904 677 6
1537 1580 1
862 1415 10
260 978 3
1337 510 2
1730 821 6
173 983 6
1372 1539 1
1679 1322 6
1914 1524 5
607 1456 1
